Filename	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title
498.jpg	1888.7506	175	65	3_Arles	1888	10	Public Garden with Couple and Blue Fir Tree: The Poet's Garden III
499.jpg	1888.7506	126	97	3_Arles	1888	10	Public Park at Arles The
500.jpg	1888.7506	201	78	3_Arles	1888	10	Railway Bridge over Avenue Montmajour Arles The
501.jpg	1888.7506	190	160	3_Arles	1888	10	Sower The
502.jpg	1888.7506	177	147	3_Arles	1888	10	Still Life: French Novels
503.jpg	1888.7506	191	95	3_Arles	1888	10	Tarascon Diligence
504.jpg	1888.7506	181	75	3_Arles	1888	10	Trinquetaille Bridge The
505.jpg	1888.7506	206	115	3_Arles	1888	10	Trunk of an Old Yew Tree
506.jpg	1888.7506	190	98	3_Arles	1888	10	Vincent's Bedroom in Arles
507.jpg	1888.7506	147	228	3_Arles	1888	10	Willows at Sunset
508.jpg	1888.834	191	177	3_Arles	1888	11	L'Arlesienne: Madame Ginoux with Books
509.jpg	1888.834	120	108	3_Arles	1888	11	L'Arlesienne: Madame Ginoux with Gloves and Umbrella
510.jpg	1888.834	150	112	3_Arles	1888	11	Les Alyscamps
511.jpg	1888.834	147	174	3_Arles	1888	11	Les Alyscamps
512.jpg	1888.834	166	149	3_Arles	1888	11	Les Alyscamps: Falling Autumn Leaves
513.jpg	1888.834	134	116	3_Arles	1888	11	Memory of the Garden at Etten
514.jpg	1888.834	121	120	3_Arles	1888	11	Mother Roulin with Her Baby
515.jpg	1888.834	215	134	3_Arles	1888	11	Mother Roulin with Her Baby
516.jpg	1888.834	153	146	3_Arles	1888	11	Novel Reader The
517.jpg	1888.834	147	122	3_Arles	1888	11	Portrait of Armand Roulin
518.jpg	1888.834	136	86	3_Arles	1888	11	Portrait of Armand Roulin
519.jpg	1888.834	138	127	3_Arles	1888	11	Portrait of Camille Roulin
520.jpg	1888.834	142	138	3_Arles	1888	11	Portrait of Camille Roulin
521.jpg	1888.834	157	178	3_Arles	1888	11	Portrait of Madame Augustine Roulin
522.jpg	1888.834	178	189	3_Arles	1888	11	Portrait of the Postman Joseph Roulin
