Filename	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title
108.jpg	1885.1668	14	91	1_Early	1885	3	Head of a Woman
109.jpg	1885.1668	84	75	1_Early	1885	3	Head of a Woman
110.jpg	1885.1668	76	65	1_Early	1885	3	Head of a Young Peasant in a Peaked Cap
111.jpg	1885.1668	61	48	1_Early	1885	3	Peasant Sitting at a Table
112.jpg	1885.1668	39	49	1_Early	1885	3	Peasant Woman Darning Stockings
113.jpg	1885.1668	38	67	1_Early	1885	3	Peasant Woman Seated before an Open Door Peeling Potatoes
114.jpg	1885.1668	83	96	1_Early	1885	3	Peasant Woman Standing Indoors
115.jpg	1885.1668	64	70	1_Early	1885	3	Peasant Woman with Child on Her Lap
116.jpg	1885.1668	64	72	1_Early	1885	3	Peasant Woman Seated with White Cap
117.jpg	1885.1668	78	34	1_Early	1885	3	Woman Sewing
118.jpg	1885.1668	78	40	1_Early	1885	3	Woman Winding Yarn
119.jpg	1885.1668	41	216	1_Early	1885	3	Woman with a Mourning Shawl
120.jpg	1885.2502	36	90	1_Early	1885	4	Head of a Peasant Woman with White Cap
121.jpg	1885.2502	147	128	1_Early	1885	4	Landscape at Dusk
122.jpg	1885.2502	196	152	1_Early	1885	4	Landscape at Sunset
123.jpg	1885.2502	121	83	1_Early	1885	4	Peasant and Peasant Woman Planting Potatoes
124.jpg	1885.2502	55	60	1_Early	1885	4	Potato Eaters The
125.jpg	1885.2502	58	110	1_Early	1885	4	Potato Eaters The
126.jpg	1885.2502	38	116	1_Early	1885	4	Still Life with Copper Coffeepot and Two White Bowls
127.jpg	1885.2502	51	67	1_Early	1885	4	Study for 'The Potato Eaters'
128.jpg	1885.2502	89	119	1_Early	1885	4	Two Hands
129.jpg	1885.3336	41	122	1_Early	1885	5	Cottage The
130.jpg	1885.3336	82	72	1_Early	1885	5	Gordina de Groot Head
131.jpg	1885.3336	22	225	1_Early	1885	5	Head of a Man
132.jpg	1885.3336	49	33	1_Early	1885	5	Head of a Peasant Woman
133.jpg	1885.3336	73	93	1_Early	1885	5	Head of a Peasant Woman in a Green Shawl
134.jpg	1885.3336	29	224	1_Early	1885	5	Head of a Woman
135.jpg	1885.3336	76	68	1_Early	1885	5	Old Church Tower at Nuenen ('The Peasants' Churchyard')
136.jpg	1885.417	208	75	1_Early	1885	6	Cottage
137.jpg	1885.417	41	151	1_Early	1885	6	Cottage and Woman with Goat
138.jpg	1885.417	107	121	1_Early	1885	6	Cottage with Peasant Woman Digging
139.jpg	1885.417	75	80	1_Early	1885	6	Cottage with Trees
140.jpg	1885.417	53	35	1_Early	1885	6	Cottage with Trees and Peasant Woman
141.jpg	1885.417	80	87	1_Early	1885	6	Peasant Woman by the Fireplace
142.jpg	1885.417	48	104	1_Early	1885	6	Peasant Woman by the Fireplace
143.jpg	1885.417	85	119	1_Early	1885	6	Peasant Woman Sitting on a Chair
144.jpg	1885.5004	127	81	1_Early	1885	7	Cottage with Decrepit Barn and Stooping Woman
145.jpg	1885.5004	140	49	1_Early	1885	7	Cottage with Peasant Coming Home
146.jpg	1885.5004	73	34	1_Early	1885	7	Peasant Digging
147.jpg	1885.5004	86	85	1_Early	1885	7	Peasant Woman Digging
148.jpg	1885.5004	122	72	1_Early	1885	7	Peasant Woman Digging
149.jpg	1885.5004	118	52	1_Early	1885	7	Woman Lifting Potatoes
150.jpg	1885.5838	93	96	1_Early	1885	8	Peasant Woman Digging
151.jpg	1885.5838	94	118	1_Early	1885	8	Peasant Woman Digging Up Potatoes
152.jpg	1885.5838	209	147	1_Early	1885	8	Sheaves of Wheat in a Field
153.jpg	1885.6672	23	81	1_Early	1885	9	Basket of Apples
154.jpg	1885.6672	36	228	1_Early	1885	9	Basket of Apples
155.jpg	1885.6672	69	62	1_Early	1885	9	Basket of Potatoes
156.jpg	1885.6672	87	122	1_Early	1885	9	Basket of Potatoes
157.jpg	1885.6672	78	78	1_Early	1885	9	Baskets of Potatoes
158.jpg	1885.6672	64	31	1_Early	1885	9	Beer Tankards
159.jpg	1885.6672	51	67	1_Early	1885	9	Still Life with a Basket of Apples
160.jpg	1885.6672	64	35	1_Early	1885	9	Still Life with a Basket of Apples and Two Pumpkins
161.jpg	1885.6672	80	51	1_Early	1885	9	Still Life with a Basket of Potatoes Surrounded by Autumn Leaves and Vegetables
162.jpg	1885.6672	82	103	1_Early	1885	9	Still Life with a Basket of Vegetables
163.jpg	1885.6672	67	39	1_Early	1885	9	Still Life with an Earthen Bowl and Pears
164.jpg	1885.6672	70	81	1_Early	1885	9	Still Life with an Earthen Bowl and Potatoes
165.jpg	1885.6672	24	58	1_Early	1885	9	Still Life with Birds' Nests
166.jpg	1885.6672	89	49	1_Early	1885	9	Still Life with Birds' Nests
167.jpg	1885.6672	44	241	1_Early	1885	9	Still Life with Brass Cauldron and Jug
168.jpg	1885.6672	72	56	1_Early	1885	9	Still Life with Earthenware and Bottles
169.jpg	1885.6672	72	147	1_Early	1885	9	Still Life with Ginger Jar and Apples
170.jpg	1885.6672	51	65	1_Early	1885	9	Still Life with Ginger Jar and Onions
