filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	year
1912_f_mondrian.jpg	108	180	51.9504	16	33.222	49	68.6762	1912
1912_g_mondrian.jpg	109	181	58.3515	29	39.1594	37	35.4825	1912
1913_a_mondrian.jpg	110	195	41.3231	60	37.5361	35	13.3055	1913
1913_b_mondrian.jpg	111	177	57.0522	90	75.8456	22	62.1471	1913
1913_c_mondrian.jpg	112	208	60.8889	34	54.2676	36	42.1304	1913
1913_d_mondrian.jpg	113	202	57.7756	76	70.5262	32	51.8047	1913
1913_e_mondrian.jpg	114	167	52.6245	122	41.407	24	17.2183	1913
1913_f_mondrian.jpg	115	194	57.6576	23	57.9257	36	75.3276	1913
1914_a_mondrian.jpg	116	192	49.1417	90	51.6925	23	10.1624	1914
1914_b_mondrian.jpg	117	238	66.7994	13	39.7211	154	70.426	1914
1914_c_mondrian.jpg	118	152	59.2713	99	54.1242	18	67.4286	1914
1914_d_mondrian.jpg	119	200	62.122	33	36.3825	49	90.4606	1914
1914_e_mondrian.jpg	120	206	59.805	34	62.3979	31	95.3961	1914
1914_f_mondrian.jpg	121	217	55.2204	16	51.5423	151	84.0238	1914
1916_a_mondrian.jpg	122	149	69.8548	105	69.8823	21	94.1838	1916
1917_a_mondrian.jpg	123	235	45.1247	5	82.6153	116	72.7722	1917
1917_b_mondrian.jpg	124	237	42.0699	5	81.0878	161	92.0062	1917
1917_c_mondrian.jpg	125	231	16.2951	85	79.8587	51	63.3573	1917
1917_d_mondrian.jpg	126	217	22.9002	43	62.8151	42	65.7037	1917
1917_e_mondrian.jpg	127	219	25.0099	36	101.5075	70	86.6338	1917
1917_f_mondrian.jpg	128	210	26.3707	28	68.0243	29	88.1724	1917
