Filepath	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title	Filename	Path_dir
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/249.jpg	1886.5004	77	143	2_Paris	1886	7	Vase with White and Red Carnations	249.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/250.jpg	1886.5004	110	123	2_Paris	1886	7	Vase with Zinnias	250.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/251.jpg	1886.5004	70	88	2_Paris	1886	7	Vase with Zinnias and Geraniums	251.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/252.jpg	1886.5004	118	74	2_Paris	1886	7	Vase with Zinnias and Other Flowers	252.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/253.jpg	1886.5838	87	95	2_Paris	1886	8	Bowl with Sunflowers Roses and Other Flowers	253.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/254.jpg	1886.5838	124	86	2_Paris	1886	8	Vase with Asters and Phlox	254.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/255.jpg	1886.5838	145	68	2_Paris	1886	8	Vase with Gladioli	255.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/256.jpg	1886.5838	136	76	2_Paris	1886	8	Vase with Hollyhocks	256.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/257.jpg	1886.5838	206	53	2_Paris	1886	8	View of Paris from Montmartre	257.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/258.jpg	1886.5838	197	53	2_Paris	1886	8	View of the Roofs of Paris	258.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/259.jpg	1886.6672	172	112	2_Paris	1886	9	Kingfisher The	259.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris/260.jpg	1886.6672	58	75	2_Paris	1886	9	Pair of Shoes A	260.jpg	/Volumes/SWS/ImagePlot/sample_files/van_gogh/filepaths_example/sample_Paris
